"InsuranceID";"InsuranceCompanyName";"SubscriberNo";"GroupNo";"PolicyHolderName";"SameAsPatient";"InsuranceName";"DateOfBirth";"SSN";"Telephone";"Gender";"HomeAddress";"Employer";"PatientRelationshipToInsured"
1021;"Dach-Oberbrunner";5758144;54961;"Reider Harness";1;"Lynelle Doumer";"2004-03-11";51046326;85284636;"Transgender";"89 Autumn Leaf Street";"Quaxo";"Sibling"
1731;"Feest Group";5921911;940222;"Elena O'Drought";0;"Rosalinde Sheeres";"1955-12-11";276905796;32935429;"Female";"5055 Packers Court";"Npath";"Sibling"
3147;"Gibson-Maggio";9741051;352771;"Beatriz Ducroe";0;"Torie Barraclough";"1946-05-02";453109861;73129836;"Female";"8 Oak Hill";"Meemm";"Child"
4228;"Anderson, Kshlerin and Kiehn";7748029;470014;"Ignacio Bonnell";1;"Vitoria Brimblecomb";"1990-08-22";640239257;67606336;"Female";"89 Messerschmidt Lane";"Roodel";"Spouse"
5256;"HYBE Insurances";10000;20000;"Senorin, Sheen S.";1;"Senorin, Sheen S.";"2001-03-21";13121;13131312;"Female";"5209 Kawit, Gloria, Oriental Mindoro";"Kim Taehyung";""
5700;"Kessler, Lakin and Denesik";3170217;472824;"Nils Gannaway";1;"Xena Wilson";"2003-05-11";314760229;72583923;"Transgender";"8 Sunnyside Pass";"Yata";"Sibling"
6547;"Purdy-Stanton";7660076;663407;"Leopold Clemente";0;"Cacilia Varden";"1983-11-14";267573679;21697658;"Female";"21655 Vidon Drive";"Wikibox";"Other"
7386;"Ebert Group";9325324;569268;"Alaine Moorcraft";0;"Omar Arno";"1986-10-26";474473440;64647327;"Female";"00 Armistice Park";"Eare";"Other"
8489;"Paucek, Schuster and Kub";4854665;918376;"Cly Gabbitis";0;"Margaretha Rowena";"2003-08-07";876239345;6373889;"Male";"5 Amoth Plaza";"Zoomdog";"Sibling"
8955;"HYBE Insurances";10000;20000;"Kim Shin";0;"Kim Shin";"1973-03-24";1232323;234234;"Female";"5209 Kawit, Gloria, Oriental Mindoro";"Park Jimin";""
10410;"Grady, Kassulke and Barton";8023091;777977;"Alain Nucciotti";0;"Vance Mattiessen";"2001-01-21";506464574;5154097;"Female";"96 Texas Court";"Photojam";"Parent"
10695;"Mante, King and Tremblay";9164037;971643;"Jess Labba";0;"Jeremie Klesse";"1954-03-22";263684991;8222858;"Male";"465 Shopko Plaza";"Quinu";"Child"
12155;"Howell and Sons";1123522;597804;"Vincents Sheryn";1;"Morna Stevenson";"1965-11-10";161170957;17594696;"Male";"264 Fremont Terrace";"Jetpulse";"Spouse"
12269;"Orn-Schuster";6194831;763271;"Saunderson Di Biasio";1;"Fifine Jedrzejewski";"1953-12-25";101241198;18737264;"Transgender";"9 Ilene Court";"Skyndu";"Other"
12353;"Huels Inc";7319541;444025;"Krystal Juanes";1;"Isobel Coen";"1982-08-09";896438902;63818408;"Female";"20 Morrow Drive";"Eidel";"Child"
12752;"Harvey-Douglas";2154859;114259;"Osborn Castell";1;"Chris Vesco";"1978-01-11";460816001;61480618;"Transgender";"07 Drewry Terrace";"Flashdog";"Other"
13985;"Bailey, Bode and Bode";184136;391812;"Alphonse Langmaid";0;"Lilly Ruusa";"1979-03-21";759870091;68470696;"Female";"3792 Kenwood Avenue";"Skajo";"Other"
14128;"Emmerich Group";5534777;400916;"Mersey Greenman";0;"Audra Cutriss";"1961-05-23";153973026;11131537;"Transgender";"25 Mendota Pass";"Nlounge";"Child"
14899;"Rice-Lowe";6498460;78005;"Jennilee Luke";0;"Betty Jeffcock";"1949-12-04";292230429;83554190;"Female";"599 Melrose Lane";"Twinder";"Spouse"
