PatientID,Prefix,PatientName,PreviousNames,EmailAddress,MailingAddress,MaritalStatus,Gender,CellPhone,HomeAddress,ResidenceType,PrimaryCarePhysician,DateOfBirth,SSN,HomePhone,WorkPhone,PreferredContact,StudentStatus,EmployerName,EmployerAddress,EmployerPhone,EmploymentStatus,EmergencyName,RelationshipToPatient,EmergencyCellphone,EmergencyWorkphone,EmergencyDateOfBirth
81946,Dr.,Brooks Jermey,Dag Dunleavy,rbeaumont0@japanpost.jp,3rd Floor,Married,Transgender,99066551,983 Texas Avenue,Skilled Nursing Home,Natalina Smardon,1969-03-20 23:07:28,59225862,728832983,230932292,Home,Full-time,Freedman Colbourne,084 Hagan Alley,451299689,Active-Military-Duty,Reinhard Beaumont,Spouse,623347530,915068846,1996-01-12 17:10:08
92070,Dr.,Seumas Searles,Libbie Lodeke,cjovovic1@storify.com,Apt 1109,Widowed,Female,503446386,0 Ridgeview Drive,Private Home,Alano Guerreru,1996-09-01 09:05:12,23730893,105713307,577466123,Work,Full-time,Christoph Bridgen,3 Lakewood Gardens Terrace,629101925,Part-time,Caspar Jovovic,Spouse,140452633,93347915,1963-05-14 23:12:15
32864,Mrs.,Dom Bladon,Arnold Antunez,spaz2@mtv.com,PO Box 22448,Widowed,Male,313286185,6794 Talisman Trail,Residential Home,Keelia Gooch,2001-08-19 10:16:15,7775674,86894211,582690792,Work,Full-time,Guglielmo Botterill,976 Warner Street,56547274,Full-time,Susan Paz,Parent,699978579,901460491,1949-02-07 08:28:50
343,Mr.,Tonia Willarton,Haze Dobbinson,cpinson3@ftc.gov,PO Box 10509,Divorced,Transgender,543613236,72592 Derek Circle,Residential Home,Donielle Kelwaybamber,1946-06-25 07:11:41,368662,999863101,130760262,Work,Full-time,Arni Waycot,68 Sutteridge Road,340941252,Part-time,Clarie Pinson,Spouse,444867158,678911036,1948-02-20 10:23:59
12743,Mr.,Nancey Samart,,mscrace4@rambler.ru,18th Floor,Widowed,Male,192275034,13047 Roxbury Circle,Skilled Nursing Home,Korella Tregona,1967-01-25 01:31:18,16108680,754967892,91017078,Work,Part-time,Allyson MacGinney,783 Green Alley,912128755,Retired,Mallorie Scrace,Friend,783887020,955928676,1993-11-17 04:11:22
84776,Ms.,Tod Spurrior,Gabriella Beaman,oheald5@wisc.edu,PO Box 18432,Married,Male,212055692,77419 Lakewood Gardens Terrace,Residential Home,Lilian Muffin,2001-09-25 14:40:08,65208374,801542407,259125504,Cell,Part-time,Zacharie Tennewell,782 Melby Court,410737139,Self-employed,Odille Heald,Sibling,119605969,568611686,1967-10-05 18:25:58
93005,Mrs.,Daveta Eggers,Gillian Auguste,cduce6@alexa.com,Room 756,Widowed,Female,803952922,135 Main Hill,Residential Home,Marika Quogan,1996-08-13 08:28:36,63843071,245376250,65765564,Cell,Not-a-Student,Eolande Klementz,2007 Lakewood Gardens Circle,955357398,Active-Military-Duty,Carleen Duce,Spouse,27005894,771160938,1947-02-23 03:37:07
89060,Dr.,Welbie Tolson,Robinett Murrthum,gpoat7@ezinearticles.com,Suite 15,Single,Transgender,714031569,856 Tomscot Court,Private Home,Kiley Shrimptone,1969-06-12 11:44:26,65013419,447976191,97390090,Cell,Full-time,Andrea Patillo,92 Birchwood Junction,226309844,Part-time,Granger Poat,Colleague,663708636,70540628,1985-04-28 11:38:48
79227,Dr.,Tricia Tolcher,,smulran8@forbes.com,PO Box 75850,Married,Transgender,801712160,3 Northland Court,Nursing Home,Gilbert Nayer,1960-01-07 09:36:37,36448070,719480970,654311209,Home,Full-time,Ardyce Syers,8 Scofield Road,787491850,Retired,Salomon Mulran,Sibling,930098080,256770738,1969-03-08 21:27:52
88419,Mrs.,Ingunna Wilkowski,Vinny Causby,rgeggie9@marketwatch.com,18th Floor,Partner,Female,10227889,8 Sutherland Plaza,Private Home,Benedicto Currier,1961-06-20 16:01:59,94141016,569206942,878536292,Home,Not-a-Student,Orella Krug,71482 Valley Edge Lane,74509990,Self-employed,Reynard Geggie,Parent,379623319,522749543,1957-11-15 21:48:40
